id,start time,stop time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear,rider_length,weekdays
60,12/31/2016 21:05:57,12/31/2016 21:13:00,2042,423,294,Broadway & Berwyn Ave,464,Damen Ave & Foster Ave,Subscriber,Male,1982,12:07:03 AM,Saturday
61,12/31/2016 21:10:17,12/31/2016 21:17:34,1970,437,17,Wood St & Division St,219,Damen Ave & Cortland St,Subscriber,Male,1976,12:07:17 AM,Saturday
62,12/31/2016 21:12:54,12/31/2016 21:24:08,2884,674,111,Sedgwick St & Huron St,26,McClurg Ct & Illinois St,Subscriber,Male,1978,12:11:14 AM,Saturday
63,12/31/2016 21:13:24,12/31/2016 21:38:49,1795,1525,177,Theater on the Lake,463,Clark St & Berwyn Ave,Subscriber,Male,1989,12:25:25 AM,Saturday
64,12/31/2016 21:13:45,12/31/2016 21:23:51,3937,606,349,Halsted St & Wrightwood Ave,256,Broadway & Sheridan Rd,Subscriber,Male,1977,12:10:06 AM,Saturday
65,12/31/2016 21:15:02,12/31/2016 21:39:41,3335,1479,92,Carpenter St & Huron St,299,Halsted St & Roscoe St,Subscriber,Male,1991,12:24:39 AM,Saturday
66,12/31/2016 21:16:01,12/31/2016 21:21:52,4656,351,158,Milwaukee Ave & Wabansia Ave,183,Damen Ave & Augusta Blvd,Subscriber,Male,1988,12:05:51 AM,Saturday
67,12/31/2016 21:21:17,12/31/2016 21:34:13,815,776,467,Western Ave & Lunt Ave,447,Glenwood Ave & Morse Ave,Subscriber,Male,1986,12:12:56 AM,Saturday
68,12/31/2016 21:23:09,12/31/2016 22:09:45,2544,2796,145,Mies van der Rohe Way & Chestnut St,260,Kedzie Ave & Milwaukee Ave,Subscriber,Male,1984,12:46:36 AM,Saturday
69,12/31/2016 21:25:43,12/31/2016 21:30:36,535,293,264,Stetson Ave & South Water St,81,Daley Center Plaza,Subscriber,Male,1984,12:04:53 AM,Saturday
70,12/31/2016 21:29:54,12/31/2016 21:37:15,155,441,451,Sheridan Rd & Loyola Ave,525,Glenwood Ave & Touhy Ave,Subscriber,Male,1989,12:07:21 AM,Saturday
71,12/31/2016 21:30:30,12/31/2016 21:50:22,5664,1192,61,Wood St & Milwaukee Ave,127,Lincoln Ave & Fullerton Ave,Subscriber,Male,1988,12:19:52 AM,Saturday
72,12/31/2016 21:30:37,12/31/2016 21:37:48,5565,431,434,Ogden Ave & Roosevelt Rd,205,Paulina St & 18th St,Subscriber,Male,1976,12:07:11 AM,Saturday
73,12/31/2016 21:30:46,12/31/2016 21:40:42,1231,596,24,Fairbanks Ct & Grand Ave,172,Rush St & Cedar St,Subscriber,Female,1987,12:09:56 AM,Saturday
